Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Isoniazid + Rifampicin,Oral:,75 mg + 150 mg Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Combinations of drugs for treatment of tuberculosis,J04AM05
Isoniazid + Rifampicin + Ethambutol,Oral:,75 mg + 150 mg + 275 mg Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Combinations of drugs for treatment of tuberculosis,J04AM06
Isoniazid + Rifampicin + Pyrazinamide,Oral:,50 mg + 75 mg + 150 mg Dispersible tablet (Fixed dose combination) (Pediatric) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Combinations of drugs for treatment of tuberculosis,J04AM06
Isoniazid + Rifampicin + Pyrazinamide + Ethambutol,Oral:,75 mg + 150 mg + 400 mg + 275 mg Tablet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Combinations of drugs for treatment of tuberculosis,J04AM06
Isophane Insulin Human,Inj.:,100 IU/mL in 3 mL Pre-filled syringe (SC) (Recombinant DNA) *Primary Health Care,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",A10AB30
Isophane Insulin Human,Inj.:,100 IU/mL in 5 mL Vial (SC) (Recombinant DNA) *Primary Health Care,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",A10AB30
Isophane Insulin Human,Inj.:,100 IU/mL in 10 mL Vial (SC) (Recombinant DNA) *Primary Health Care,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",A10AB30
Isosorbide,Oral:,10 mg (as Dinitrate) Tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Oral:,20 mg (as Dinitrate) Tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Oral:,20 mg (as Dinitrate) Modified Release (MR) tablet/Capsule *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Sublingual:,5 mg (as Dinitrate) Sublingual (SL) tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Inj.:,1 mg/mL (as Dinitrate) in 10 mL Ampul (IV) ,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Oral:,40 mg (as 5-Mononitrate) Tablet ,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Oral:,30 mg (as 5-Mononitrate) Modified Release (MR) tablet/Capsule *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isosorbide,Oral:,60 mg (as 5-Mononitrate) Modified Release (MR) tablet/Capsule *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Organic nitrates,C01DA08
Isotonic electrolyte solution for IV infusion,Inj.:,"in 1 L composed of:
Sodium chloride = 6.80 g
Potassium chloride = 0.30 g
Calcium chloride dihydrate = 0.37 g
Magnesium chloride hexahydrate = 0.20 g
Sodium acetate trihydrate = 3.27 g
Malic acid = 0.67 g ",BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTIONS,Solutions affecting the electrolyte balance,B05BB01
Isoxsuprine,Oral:,10 mg (as Hydrochloride) Tablet ,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives,C04AA01
Isoxsuprine,Oral:,40 mg (as Hydrochloride) Tablet ,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives,C04AA01
Isoxsuprine,Inj.:,"5 mg/mL (as Hydrochloride) in 2 mL Ampul (IM, IV infusion) ",CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives,C04AA01
Itraconazole,Oral:,100 mg Capsule ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Triazole and tetrazole derivatives,J02AC02
Ivermectin,Oral:,3 mg Tablet ,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Avermectines,P02CF01
Ivermectin,Oral:,6 mg Tablet ,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Avermectines,P02CF01
Kanamycin,Inj.:,1 g (as Sulfate) Vial (IM) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMINOGLYCOSIDE ANTIBACTERIALS,Other aminoglycosides,J01GB04
Ketamine,Inj.:,"50 mg/mL (as Hydrochloride) Vial (IM, IV) ",NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Other general anesthetics,N01AX03
Ketoconazole,Topical:,2% (20 mg/g) Cream in 3.5 g Aluminum collapsible tube ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoconazole,Topical:,2% (20 mg/g) Cream in 15 g Aluminum collapsible tube ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoconazole,Topical:,2% (20 mg/g) Shampoo in 6 mL Foil sachet *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoconazole,Topical:,2% (20 mg/g) Shampoo in 10 mL Bottle *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoconazole,Topical:,2% (20 mg/g) Shampoo in 60 mL Bottle *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoconazole,Topical:,2% (20 mg/g) Shampoo in 100 mL Bottle *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives,J02AB02 
Ketoprofen,Oral:,100 mg Tablet ,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"Antiinflammatory preparations, non-steroids for topical use",M02AA10
Ketoprofen,Inj.:,50 mg/mL in 2 mL Ampul (IM) ,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"Antiinflammatory preparations, non-steroids for topical use",M02AA10
Ketorolac,Inj.:,"30 mg/mL (as Tromethamol) in 1 mL Ampul (IM, IV) ",SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"Antiinflammatory agents, non-steroids",S01BC05
Lactated Ringer's solution (Ringer's Lactate),Inj.:,"in 500 mL Bottle/Bag (IV infusion) composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 1.22 - 1.5 mmol/L
Cl- = 109 mmol/L
Lactate = 28 mmol/L *Primary Health Care",BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTION ADDITIVES,Electrolyte solutions,B05XA30
Lactated Ringer's solution (Ringer's Lactate),Inj.:,"in 1 L Bottle/Bag (IV infusion) composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 1.22 - 1.5 mmol/L
Cl- = 109 mmol/L
Lactate = 28 mmol/L *Primary Health Care",BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTION ADDITIVES,Electrolyte solutions,B05XA30
Lactulose,Oral:,3.3 g/5 mL (3.35 g/5 mL) Syrup *Primary Health Care,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives,A06AD11
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,300 mg Tablet *Primary Health Care,Not Available,Not Available,Not Available,Not Available,Not Available
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,600 mg Tablet *Primary Health Care,Not Available,Not Available,Not Available,Not Available,Not Available
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,300 mg/5 mL Syrup in 60 mL *Primary Health Care,Not Available,Not Available,Not Available,Not Available,Not Available
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,300 mg/5 mL Syrup in 120 mL *Primary Health Care,Not Available,Not Available,Not Available,Not Available,Not Available
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,600 mg/5 mL Syrup in 60 mL ,Not Available,Not Available,Not Available,Not Available,Not Available
Lagundi (Vitex negundo L. [Fam. Verbenaceae]),Oral:,600 mg/5 mL Syrup in 120 mL ,Not Available,Not Available,Not Available,Not Available,Not Available
Lamivudine,Oral:,100 mg Tablet/Film-coated tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF05
Lamivudine,Oral:,150 mg Tablet/Film-coated tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF05
Lamivudine,Oral:,10 mg/mL Suspension in 240 mL Bottle ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF05
Lamivudine + Efavirenz + Tenofovir,Oral:,300 mg + 600 mg + 300 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations",J05AR11
Lamivudine + Tenofovir,Oral:,300 mg + 300 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations",J05AR12
Lamivudine + Zidovudine,Oral:,150 mg + 300 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations",J05AR01
Lamivudine + Zidovudine + Nevirapine,Oral:,150 mg + 300 mg + 200 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations",J05AR05
Lamotrigine,Oral:,50 mg Tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX09
Lamotrigine,Oral:,100 mg Tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX09
Lansoprazole,Oral:,15 mg Capsule ,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS, DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,A02BC03
Lansoprazole,Oral:,30 mg Capsule ,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS, DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,A02BC03
Lansoprazole,Oral:,15 mg Modified Release (MR) tablet ,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS, DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,A02BC03
Lansoprazole,Oral:,30 mg Modified Release (MR) tablet ,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS, DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,A02BC03
Latanoprost,Ophthalmic:,50 mcg/mL Solution in 2.5 mL (Eye drops) ,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Prostaglandin analogues,S01EE01
Latanoprost + Timolol,Ophthalmic:,50 mcg + 5 mcg/mL (as Maleate) Solution in 5 mL Bottle (Eye drops) ,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Beta blocking agents,S01ED51
Letrozole,Oral:,2.5 mg Tablet/Film-coated tablet ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Aromatase inhibitors,L02BG04
Leuproreline,Inj.:,"3.75 mg/2 mL (as Acetate) Vial + Syringe (IM, SC) ",ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,"1.88 mg (as Acetate) Single dose, Powder + Syringe (IM, SC) ",ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,"3.75 mg (as Acetate) Single dose, Powder + Syringe (IM, SC) ",ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,"11.25 mg (as Acetate) Depot solution Vial + Syringe (IM, SC) ",ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,7.5 mg (as Acetate) Pre-filled syringe (SC) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,22.5 mg (as Acetate) Pre-filled syringe (SC) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Leuproreline,Inj.:,45 mg (as Acetate) Pre-filled syringe (SC) ,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,ENDOCRINE THERAPY,Gonadotropin releasing hormone analogues,L02AE02
Levetiracetam,Oral:,250 mg Film-coated tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Oral:,500 mg Film-coated tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Oral:,750 mg Film-coated tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Oral:,1 g Film-coated tablet ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Inj.:,500 mg/5 mL (100 mg/mL) Solution in 5 mL Vial (IV infusion) (Concentrate) ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Oral:,100 mg/mL Solution in 100 mL Bottle ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levetiracetam,Oral:,100 mg/mL Solution in 300 mL Bottle ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics,N03AX14 
Levobupivacaine,Inj.:,5 mg/mL Solution in 10 mL Ampul ,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Amides,N01BB10
Levodopa + Carbidopa,Oral:,100 mg + 25 mg Tablet *Primary Health Care,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopa and dopa derivatives,N04BA02
Levodopa + Carbidopa,Oral:,250 mg + 25 mg Tablet *Primary Health Care,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopa and dopa derivatives,N04BA02
Levodopa + Carbidopa,Oral:,200 mg + 50 mg Extended Release (ER) tablet *Primary Health Care,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopa and dopa derivatives,N04BA02
Levofloxacin,Oral:,250 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levofloxacin,Oral:,500 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levofloxacin,Oral:,750 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levofloxacin,Inj.:,5 mg/mL Solution in 100 mL Vial (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levofloxacin,Inj.:,5 mg/mL Solution in 150 mL Vial (IV infusion) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levofloxacin,Ophthalmic:,5 mg/mL (0.5% w/v) Solution (Eye drops) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones,J01MA12 
Levothyroxine,Oral:,50 mcg (as Sodium/anhydrous Sodium) Tablet *Primary Health Care,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,THYROID PREPARATIONS,Thyroid hormones,H03AA01
Levothyroxine,Oral:,100 mcg (as Sodium/anhydrous Sodium) Tablet *Primary Health Care,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,THYROID PREPARATIONS,Thyroid hormones,H03AA01
Levothyroxine,Oral:,150 mcg (as Sodium/anhydrous Sodium) Tablet *Primary Health Care,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,THYROID PREPARATIONS,Thyroid hormones,H03AA01
Lidocaine,Inj.:,1% (as Hydrochloride) in 20 mL Ampul *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (20 mg/mL) (as Hydrochloride) in 2 mL Ampul/vial (IM, IV) ",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (20 mg/mL) (as Hydrochloride) in 5 mL Ampul/vial (IM, IV) ",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (20 mg/mL) (as Hydrochloride) in 20 mL Ampul/vial (IM, IV) ",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (20 mg/mL) (as Hydrochloride) in 50 mL Ampul/vial (IM, IV) ",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (as Hydrochloride) in 5 mL Vial (Epidural, local infiltration) *Primary Health Care",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,"2% (as Hydrochloride) in 50 mL Vial (Epidural, local infiltration) *Primary Health Care",CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Inj.:,2% (as Hydrochloride) in 1.8 mL Carpule + Epinephrine (local infiltration) *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Lidocaine,Topical:,10% (as Hydrochloride) Solution in 50 mL Spray *Primary Health Care,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ib",C01BB01
Linezolid *Reserve antimicrobial,Oral:,600 mg Tablet/Film-coated tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Other antibacterials,J01XX08
Linezolid *Reserve antimicrobial,Inj.:,2 mg/mL (600 mg/300 mL) Solution for IV infusion ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Other antibacterials,J01XX08
Lipids,Inj.:,10% in 100 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lipids,Inj.:,10% in 200 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lipids,Inj.:,10% in 500 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lipids,Inj.:,20% in 100 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lipids,Inj.:,20% in 250 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lipids,Inj.:,20% in 500 mL Bottle (IV infusion) ,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN","LIPID MODIFYING AGENTS, COMBINATIONS",Not available
Lithium ,Oral:,450 mg (as Carbonate) Modified Release (MR) tablet *Primary Health Care,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Lithium,N05AN01
Live Attenuated Bivalent Oral Polio Vaccine,Oral:,"2 mg 20 doses, in Vial (Types 1 and 3) *Primary Health Care",ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Poliomyelitis vaccines,J07BF02
Live Attenuated Measles Vaccine,Inj.:,Monodose vial + 0.5 mL diluent (SC) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines,J07BD01
Live Attenuated Measles Vaccine,Inj.:,Multidose vial + 5 mL diluent (SC) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines,J07BD01
"Live Attenuated Measles, Mumps and Rubella (MMR) Vaccine",Inj.:,Monodose vial + 0.5 mL diluent (SC) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines,J07BD52
"Live Attenuated Measles, Mumps and Rubella (MMR) Vaccine",Inj.:,Multidose vial + 5 mL diluent (SC) *Primary Health Care,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines,J07BD52
Live Attenuated Measles and Rubella (MR) Vaccine,Inj.:,"x 10 doses/vial, Multidose vial + 5 mL diluent (SC)(With vaccine vial monitor) ",ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Measles vaccines,J07BD53
Live Attenuated Mumps Vaccine,Inj.:,Monodose vial + 0.5 mL diluent (SC) ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Mumps vaccines,J07BE01
Live Attenuated Rubella Vaccine,Inj.:,Monodose vial + 0.5 mL diluent (SC) ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Rubella vaccines,J07BJ01
Live Attenuated Rubella Vaccine,Inj.:,Multidose vial + 5 mL diluent (SC) ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Rubella vaccines,J07BJ01
Live Attenuated Varicella Vaccine,Inj.:,Not less than 2000 PFU Freeze-dried powder Monodose vial + 0.5 mL water for injection ampule) (SC only)(OKA strain varicella zoster virus) ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Varicella zoster vaccines,J07BK01
Loperamide,Oral:,2 mg (as Hydrochloride) Capsule (N.B.: Not for infants and children less than 12 years old) *Primary Health Care,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,Antipropulsives,A07DA03
