Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Ursodeoxycholic Acid,Oral:,250 mg Tablet ,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives,A05AA02
Ursodeoxycholic Acid,Oral:,500 mg Tablet ,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives,A05AA02
Valaciclovir,Oral:,500 mg (as Hydrochloride) Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB11 
Valganciclovir,Oral:,450 mg Tablet ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB14 
Valproic Acid,Oral:,250 mg/5 mL Syrup in 120 mL *Primary Health Care,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Fatty acid derivatives,N03AG01 
Valproic Acid,Inj.:,500 mg/5 mL in 5 mL Vial (IV infusion) ,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Fatty acid derivatives,N03AG01 
Valsartan,Oral:,80 mg Tablet/Film-coated tablet ,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain",C09CA03 
Valsartan,Oral:,160 mg Tablet/Film-coated tablet ,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain",C09CA03 
Valsartan + Hydrochlorothiazide,Oral:,80 mg + 12.5 mg Tablet ,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations",C09DX01 
Vancomycin *Reserve antimicrobial,Inj.:,500 mg (as Hydrochloride) Vial (IV) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Glycopeptide antibacterials,J01XA01 
Vancomycin *Reserve antimicrobial,Inj.:,1 g (as Hydrochloride) Vial (IV) ,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Glycopeptide antibacterials,J01XA01 
Varenicline,Oral:,0.5 mg Tablet *Primary Health Care,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,Other ophthalmologicals,S01XA28 
Varenicline,Oral:,1 mg Tablet *Primary Health Care,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,Other ophthalmologicals,S01XA28 
Varicella Zoster Immunoglobulin (VZIG),Inj.:,125 units/1.25 mL Vial (IM) ,ANTIINFECTIVES FOR SYSTEMIC USE,IMMUNE SERA AND IMMUNOGLOBULINS,IMMUNOGLOBULINS,Specific immunoglobulins,J06BB03 
Vasopressin,Inj.:,"20 IU/mL (IM,IV) ","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,POSTERIOR PITUITARY LOBE HORMONES,Vasopressin and analogues,H01BA01 
